iteration,cells,thread_imbalance_pct
100,1,0.0
200,1,0.0
300,1,0.0
400,2,0.6
500,2,0.3
600,2,0.4
700,2,0.3
800,2,0.3
900,2,0.8
1000,2,0.8
1100,2,0.3
1200,2,0.3
1300,2,0.2
1400,2,0.1
1500,2,0.2
1600,2,0.3
1700,2,0.4
1800,2,0.6
1900,3,2.3
2000,3,4.7
2100,3,5.7
2200,4,6.6
2300,4,3.7
2400,4,3.4
2500,4,4.5
2600,4,5.2
2700,4,4.6
2800,4,5.2
2900,4,5.3
3000,5,5.2
3100,6,10.0
3200,6,10.4
3300,7,8.8
3400,7,7.7
3500,7,7.9
3600,7,8.0
3700,7,8.0
3800,8,7.1
3900,8,5.3
4000,9,4.0
4100,10,3.6
4200,11,9.1
4300,12,7.4
4400,13,7.9
4500,13,9.3
4600,13,9.8
4700,13,10.8
4800,13,11.5
4900,14,9.9
5000,15,9.4
5100,16,8.3
5200,16,8.4
5300,16,8.9
5400,16,9.1
5500,16,9.6
5600,17,10.3
5700,18,8.5
5800,18,7.0
5900,20,6.9
6000,22,8.8
6100,23,10.6
6200,28,11.9
6300,29,10.1
6400,30,9.5
6500,30,10.0
6600,30,10.3
6700,30,10.8
6800,31,11.5
6900,31,10.5
7000,32,10.5
7100,33,10.8
7200,35,11.4
7300,39,12.3
7400,42,14.0
7500,47,13.7
7600,49,13.3
7700,52,13.2
7800,53,13.7
7900,53,13.7
8000,55,12.9
8100,57,11.8
8200,61,12.0
8300,61,12.5
8400,63,13.3
8500,70,13.3
8600,75,14.2
8700,80,14.5
8800,85,13.9
8900,87,14.3
9000,94,14.0
9100,98,14.0
9200,105,13.9
9300,110,13.6
9400,113,12.6
9500,116,11.5
9600,119,11.8
9700,123,11.8
9800,127,11.3
9900,132,11.9
10000,141,11.6
10100,145,12.6
10200,154,13.7
10300,161,14.3
10400,169,14.7
10500,183,14.1
10600,193,14.3
10700,205,14.0
10800,211,13.9
10900,218,13.4
11000,231,12.2
11100,238,11.8
11200,250,11.7
11300,259,11.7
11400,266,12.0
11500,282,12.0
11600,292,12.7
11700,303,13.2
11800,327,12.8
11900,347,12.7
12000,363,13.0
12100,378,13.1
12200,400,12.3
12300,415,12.2
12400,430,12.0
12500,445,12.0
12600,460,11.9
12700,484,11.5
12800,509,11.4
12900,528,11.7
13000,559,11.8
13100,578,12.6
13200,611,12.8
13300,645,13.2
13400,676,13.5
13500,719,13.0
13600,750,13.1
13700,781,12.9
13800,817,12.5
13900,854,12.1
14000,880,11.8
14100,913,11.7
14200,949,11.6
14300,992,11.5
14400,1038,11.5
14500,1091,11.7
14600,1143,12.2
14700,1201,12.5
14800,1260,12.8
14900,1319,13.0
15000,1392,13.1
15100,1458,13.1
15200,1513,13.2
15300,1583,12.8
15400,1661,12.4
15500,1722,12.2
15600,1787,12.2
15700,1864,12.0
15800,1944,12.1
15900,2029,12.1
16000,2137,12.3
16100,2222,12.4
16200,2309,12.5
16300,2397,12.8
16400,2515,13.0
16500,2645,13.1
16600,2768,13.1
16700,2891,12.9
16800,3009,12.7
16900,3135,12.6
17000,3273,12.4
17100,3415,12.2
17200,3537,12.2
17300,3681,12.2
17400,3844,12.3
17500,3996,12.5
17600,4148,12.6
17700,4354,12.5
17800,4545,12.8
17900,4721,12.9
18000,4923,12.9
18100,5145,13.0
18200,5395,12.9
18300,5627,13.0
18400,5867,12.9
18500,6097,12.9
18600,6377,12.8
18700,6656,12.7
18800,6955,12.6
18900,7245,12.8
19000,7554,12.8
19100,7884,12.9
19200,8222,13.1
19300,8573,13.3
19400,8945,13.4
19500,9377,13.5
19600,9818,13.6
19700,10277,13.6
19800,10745,13.7
19900,11184,13.7
20000,11687,13.7
20100,12221,13.7
20200,12751,13.8
20300,13291,13.9
20400,13831,13.9
20500,14469,14.0
20600,15108,14.2
20700,15826,14.3
20800,16540,14.4
20900,17239,14.7
21000,18022,14.8
21100,18792,15.0
21200,19596,15.1
21300,20426,15.1
21400,21314,15.3
21500,22270,15.3
21600,23210,15.4
21700,24274,15.5
21800,25341,15.7
21900,26534,15.7
