cells,thread_imbalance_pct
18.0,13.1
32.0,17.7
41.0,20.6
63.0,16.5
69.0,17.5
78.0,18.3
88.0,21.2
107.0,18.3
114.0,18.8
127.0,19.7
133.0,18.9
142.0,17.8
156.0,16.7
159.0,17.0
171.0,18.1
215.0,19.7
220.0,19.5
223.0,19.2
229.0,19.7
234.0,19.2
234.0,19.4
245.0,20.0
254.0,19.7
261.0,18.0
265.0,18.7
274.0,17.9
281.0,16.7
287.0,17.6
311.0,17.4
323.0,16.6
331.0,17.5
348.0,17.2
356.0,16.3
371.0,16.3
383.0,17.2
396.0,15.7
407.0,16.2
425.0,16.8
441.0,16.5
454.0,17.1
469.0,17.0
510.0,16.8
520.0,16.1
531.0,16.1
542.0,16.6
561.0,16.0
582.0,15.2
582.0,16.5
613.0,16.0
632.0,16.1
647.0,14.7
667.0,16.1
690.0,15.4
710.0,14.6
735.0,16.1
818.0,16.7
846.0,16.8
867.0,16.6
896.0,16.1
922.0,16.1
953.0,16.4
986.0,16.4
1013.0,16.3
1085.0,17.1
1107.0,15.9
1170.0,15.3
1207.0,15.4
1247.0,16.1
1278.0,16.0
1319.0,15.8
1367.0,16.0
1415.0,17.0
1453.0,15.8
1509.0,17.1
1552.0,16.1
1588.0,16.0
1628.0,15.6
1680.0,16.3
1720.0,16.2
1765.0,16.6
1822.0,15.9
1871.0,16.4
1920.0,15.6
1958.0,15.9
2016.0,16.0
2085.0,15.8
2140.0,15.2
2194.0,16.3
2273.0,14.6
2340.0,15.0
2393.0,15.0
2393.0,15.7
2393.0,15.8
2393.0,15.8
2679.0,14.8
2768.0,14.8
2865.0,14.9
2946.0,16.5
3023.0,15.8
3106.0,15.9
3198.0,15.5
3284.0,15.7
3371.0,15.1
3467.0,16.4
3571.0,16.1
3677.0,14.8
3789.0,16.0
3905.0,14.3
4019.0,16.1
4120.0,14.9
4220.0,14.6
4346.0,15.8
4452.0,15.3
4589.0,15.5
4718.0,15.8
4817.0,15.0
4960.0,15.2
5110.0,15.8
5254.0,15.1
5411.0,15.7
5567.0,15.4
5755.0,15.5
5924.0,15.1
6498.0,15.7
6712.0,16.1
7086.0,16.1
7313.0,15.2
7528.0,15.6
7705.0,15.0
7931.0,15.1
8149.0,16.2
8382.0,16.9
8620.0,15.9
8873.0,15.9
9144.0,15.9
9399.0,15.4
9693.0,14.9
