mode,iteration,cells,wall_hours
adaptive,100,1,0.0
adaptive,200,1,0.0
adaptive,300,1,0.0
adaptive,400,2,0.00028
adaptive,500,2,0.00028
adaptive,600,2,0.00056
adaptive,700,2,0.00056
adaptive,800,2,0.00083
adaptive,900,2,0.00083
adaptive,1000,2,0.00111
adaptive,1100,2,0.00111
adaptive,1200,2,0.00139
adaptive,1300,2,0.00139
adaptive,1400,2,0.00139
adaptive,1500,2,0.00167
adaptive,1600,2,0.00167
adaptive,1700,2,0.00167
adaptive,1800,2,0.00194
adaptive,1900,3,0.00222
adaptive,2000,3,0.00222
adaptive,2100,3,0.0025
adaptive,2200,4,0.00278
adaptive,2300,4,0.00306
adaptive,2400,4,0.00306
adaptive,2500,4,0.00333
adaptive,2600,4,0.00361
adaptive,2700,4,0.00361
adaptive,2800,4,0.00389
adaptive,2900,4,0.00417
adaptive,3000,5,0.00417
adaptive,3100,6,0.00444
adaptive,3200,6,0.00472
adaptive,3300,7,0.005
adaptive,3400,7,0.00528
adaptive,3500,7,0.00556
adaptive,3600,7,0.00583
adaptive,3700,7,0.00611
adaptive,3800,8,0.00639
adaptive,3900,8,0.00667
adaptive,4000,9,0.00694
adaptive,4100,10,0.0075
adaptive,4200,11,0.00778
adaptive,4300,12,0.00833
adaptive,4400,13,0.00861
adaptive,4500,13,0.00889
adaptive,4600,13,0.00944
adaptive,4700,13,0.00972
adaptive,4800,13,0.01
adaptive,4900,14,0.01056
adaptive,5000,15,0.01111
adaptive,5100,16,0.01167
adaptive,5200,16,0.01222
adaptive,5300,16,0.0125
adaptive,5400,16,0.01306
adaptive,5500,16,0.01361
adaptive,5600,17,0.01417
adaptive,5700,18,0.01472
adaptive,5800,18,0.01556
adaptive,5900,20,0.01611
adaptive,6000,22,0.01694
adaptive,6100,23,0.01778
adaptive,6200,28,0.01861
adaptive,6300,29,0.01972
adaptive,6400,30,0.02083
adaptive,6500,30,0.02194
adaptive,6600,30,0.02306
adaptive,6700,30,0.02417
adaptive,6800,31,0.02528
adaptive,6900,31,0.02639
adaptive,7000,32,0.02778
adaptive,7100,33,0.02917
adaptive,7200,35,0.03028
adaptive,7300,39,0.03194
adaptive,7400,42,0.03361
adaptive,7500,47,0.03556
adaptive,7600,49,0.0375
adaptive,7700,52,0.03972
adaptive,7800,53,0.04194
adaptive,7900,53,0.04444
adaptive,8000,55,0.04667
adaptive,8100,57,0.04917
adaptive,8200,61,0.05167
adaptive,8300,61,0.05444
adaptive,8400,63,0.05694
adaptive,8500,70,0.06
adaptive,8600,75,0.06333
adaptive,8700,80,0.06694
adaptive,8800,85,0.07056
adaptive,8900,87,0.07472
