mode,iteration,cells,iter_per_sec
adaptive,100,1,344.827586
adaptive,200,1,350.877193
adaptive,300,1,358.422939
adaptive,400,2,157.232704
adaptive,500,2,148.367953
adaptive,600,2,180.831826
adaptive,700,2,211.864407
adaptive,800,2,230.414747
adaptive,900,2,242.718447
adaptive,1000,2,253.164557
adaptive,1100,2,263.852243
adaptive,1200,2,264.550265
adaptive,1300,2,265.251989
adaptive,1400,2,269.541779
adaptive,1500,2,269.541779
adaptive,1600,2,262.467192
adaptive,1700,2,241.545894
adaptive,1800,2,242.130751
adaptive,1900,3,130.718954
adaptive,2000,3,151.745068
adaptive,2100,3,161.812298
adaptive,2200,4,126.103405
adaptive,2300,4,123.00123
adaptive,2400,4,139.86014
adaptive,2500,4,154.320988
adaptive,2600,4,157.977883
adaptive,2700,4,163.934426
adaptive,2800,4,165.837479
adaptive,2900,4,166.389351
adaptive,3000,5,135.317997
adaptive,3100,6,126.742712
adaptive,3200,6,116.959064
adaptive,3300,7,94.073377
adaptive,3400,7,105.374078
adaptive,3500,7,111.358575
adaptive,3600,7,114.155251
adaptive,3700,7,117.370892
adaptive,3800,8,75.930144
adaptive,3900,8,93.632959
adaptive,4000,9,88.652482
adaptive,4100,10,81.234768
adaptive,4200,11,79.744817
adaptive,4300,12,68.119891
adaptive,4400,13,68.917988
adaptive,4500,13,72.992701
adaptive,4600,13,74.404762
adaptive,4700,13,75.528701
adaptive,4800,13,75.757576
adaptive,4900,14,63.291139
adaptive,5000,15,57.504313
adaptive,5100,16,55.401662
adaptive,5200,16,53.619303
adaptive,5300,16,54.024851
adaptive,5400,16,54.229935
adaptive,5500,16,54.25936
adaptive,5600,17,53.191489
adaptive,5700,18,44.072279
adaptive,5800,18,44.54343
adaptive,5900,20,42.194093
adaptive,6000,22,40.502228
adaptive,6100,23,34.542314
adaptive,6200,28,29.717682
adaptive,6300,29,26.469031
adaptive,6400,30,25.654182
adaptive,6500,30,25.879917
adaptive,6600,30,25.497195
adaptive,6700,30,25.031289
adaptive,6800,31,24.533857
adaptive,6900,31,22.603978
adaptive,7000,32,22.336386
adaptive,7100,33,21.810251
adaptive,7200,35,21.358394
adaptive,7300,39,18.635855
adaptive,7400,42,16.605779
adaptive,7500,47,15.117158
adaptive,7600,49,14.146272
adaptive,7700,52,12.807377
adaptive,7800,53,12.457954
