iteration,adaptive_cells,v1_cells,adaptive_mean_pressure,v1_mean_pressure,rel_dev_pct
0,1.0,1.0,1.403,1.378,1.8142
50,1.0,1.0,167.7,165.9,1.085
100,1.0,1.0,254.7,260.9,2.3764
150,1.0,1.0,112.9,113.1,0.1768
200,1.0,1.0,42.71,33.49,27.5306
250,1.0,1.0,148.1,148.8,0.4704
300,1.0,1.0,213.1,226.0,5.708
350,2.0,1.0,123.6,127.4,2.9827
400,2.0,2.0,140.8,103.7,35.7763
450,2.0,2.0,233.9,262.75,10.98
500,2.0,2.0,144.8,152.7,5.1735
550,2.0,2.0,126.55,99.305,27.4357
600,2.0,2.0,188.5,205.75,8.384
650,2.0,2.0,168.9,179.9,6.1145
700,2.0,2.0,125.45,114.35,9.707
750,2.0,2.0,159.45,163.8,2.6557
800,2.0,2.0,178.9,189.6,5.6435
850,2.0,2.0,141.95,132.45,7.1725
900,2.0,2.0,132.05,129.9,1.6551
950,2.0,2.0,157.7,170.25,7.3715
1000,2.0,2.0,155.3,159.3,2.511
1050,2.0,2.0,133.7,125.75,6.3221
1100,2.0,2.0,137.15,139.25,1.5081
1150,2.0,2.0,151.9,163.0,6.8098
1200,2.0,2.0,143.95,147.25,2.2411
1250,2.0,3.0,132.55,131.833333,0.5436
1300,2.0,3.0,139.0,209.466667,33.641
1350,2.0,3.0,146.25,177.866667,17.7755
1400,2.0,3.0,138.8,155.633333,10.816
1450,2.0,3.0,132.5,189.233333,29.9806
1500,2.0,3.0,138.65,168.666667,17.7964
1550,2.0,3.0,141.05,154.466667,8.6858
1600,2.0,3.0,135.05,168.633333,19.915
1650,2.0,4.0,132.0,155.55,15.1398
1700,2.0,4.0,134.6,186.45,27.8091
1750,2.0,4.0,136.45,169.075,19.2962
1800,2.0,4.0,131.9,159.975,17.5496
1850,3.0,4.0,162.566667,168.8,3.6927
1900,3.0,4.0,182.266667,162.525,12.1468
1950,3.0,4.0,155.5,151.35,2.742
2000,3.0,4.0,163.566667,160.8,1.7206
2050,3.0,4.0,167.366667,156.7,6.8071
2100,3.0,4.0,150.433333,147.275,2.1445
2150,4.0,4.0,145.925,153.725,5.074
2200,4.0,4.0,164.5,153.725,7.0093
2250,4.0,4.0,174.1,145.35,19.7798
2300,4.0,4.0,157.425,143.2,9.9337
2350,4.0,4.0,155.525,149.325,4.152
2400,4.0,4.0,155.625,146.6,6.1562
2450,4.0,4.0,150.725,142.3,5.9206
2500,4.0,4.0,147.975,141.525,4.5575
2550,4.0,4.0,147.55,143.3,2.9658
2600,4.0,4.0,147.425,141.825,3.9485
2650,4.0,4.0,145.075,137.625,5.4133
2700,4.0,4.0,142.175,139.775,1.717
2750,4.0,4.0,141.375,140.525,0.6049
2800,4.0,4.0,140.45,137.275,2.3129
2850,4.0,4.0,139.35,135.9,2.5386
2900,4.0,4.0,139.425,135.55,2.8587
2950,5.0,4.0,140.36,135.975,3.2249
3000,5.0,4.0,168.64,135.3,24.6415
3050,5.0,4.0,156.54,133.0,17.6992
3100,6.0,4.0,148.333333,131.625,12.6939
3150,6.0,4.0,184.2,131.575,39.9962
3200,6.0,4.0,166.0,131.65,26.0919
3250,7.0,6.0,160.814286,147.966667,8.6828
3300,7.0,6.0,179.328571,168.0,6.7432
3350,7.0,6.0,164.957143,141.883333,16.2625
3400,7.0,6.0,154.114286,139.75,10.2786
3450,7.0,7.0,160.271429,152.771429,4.9093
3500,7.0,7.0,161.057143,162.485714,0.8792
3550,7.0,7.0,150.6,145.942857,3.1911
3600,7.0,7.0,148.671429,142.357143,4.4355
3650,7.0,7.0,153.914286,154.014286,0.0649
3700,7.0,7.0,149.971429,148.842857,0.7582
3750,8.0,7.0,158.4875,138.828571,14.1606
3800,8.0,7.0,160.675,139.371429,15.2855
3850,8.0,7.0,152.275,146.014286,4.2877
3900,8.0,7.0,154.5875,143.085714,8.0384
3950,9.0,7.0,152.333333,136.957143,11.227
4000,9.0,7.0,161.711111,136.557143,18.4201
4050,9.0,7.0,162.322222,140.357143,15.6494
4100,10.0,8.0,166.31,146.475,13.5416
4150,10.0,8.0,166.47,150.2625,10.7861
4200,11.0,8.0,156.445455,141.9625,10.202
4250,12.0,9.0,173.333333,146.355556,18.433
4300,12.0,9.0,177.466667,159.411111,11.3264
4350,13.0,9.0,167.715385,148.211111,13.1598
4400,13.0,9.0,170.5,144.022222,18.3845
4450,13.0,10.0,164.192308,156.07,5.2043
4500,13.0,10.0,159.953846,154.64,3.4363
4550,13.0,10.0,160.507692,145.08,10.6339
4600,13.0,11.0,159.007692,145.163636,9.5369
4650,13.0,11.0,153.646154,158.045455,2.7836
4700,13.0,12.0,153.353846,150.033333,2.2132
4750,13.0,12.0,152.484615,154.191667,1.1071
4800,13.0,12.0,149.546154,157.833333,5.2506
4850,14.0,12.0,150.285714,147.975,1.5616
4900,14.0,14.0,157.85,147.573571,6.9636
4950,14.0,14.0,153.128571,166.942857,8.2749
5000,15.0,14.0,151.66,161.685714,6.2007
5050,15.0,16.0,154.34,159.2,3.0528
5100,16.0,16.0,150.058125,168.04375,10.7029
5150,16.0,16.0,155.4375,155.540625,0.0663
5200,16.0,16.0,150.325,156.175,3.7458
5250,16.0,16.0,144.090625,159.30625,9.5512
5300,16.0,16.0,148.34375,152.08125,2.4576
5350,16.0,16.0,149.9,147.70625,1.4852
5400,16.0,16.0,144.8375,151.45625,4.3701
5450,16.0,16.0,142.65,150.725,5.3574
5500,16.0,16.0,143.98125,145.4125,0.9843
5550,16.0,16.0,143.6625,141.1875,1.753
5600,17.0,16.0,141.934706,142.59375,0.4622
5650,17.0,16.0,149.676471,143.5,4.3042
5700,18.0,17.0,146.394444,144.876471,1.0478
5750,18.0,17.0,143.675556,147.841176,2.8176
5800,18.0,17.0,146.233333,143.194118,2.1224
5850,20.0,17.0,146.81,140.447059,4.5305
5900,20.0,18.0,151.26,144.466667,4.7024
5950,20.0,18.0,147.315,151.177778,2.5551
6000,22.0,20.0,148.582273,145.0262,2.452
6050,23.0,20.0,158.805217,159.34,0.3356
6100,23.0,21.0,153.617391,159.461905,3.6651
